"X","Country","Region","Freedom","Year","Rank","Score","GDP","Life.Expectancy","Corruption"
132,"Malawi","Sub-Saharan Africa",0.4143,2016,132,4.156,0.08709,0.29364,0.07564
133,"Sudan","Sub-Saharan Africa",0,2016,133,4.139,0.63069,0.29759,0.10039
134,"Gabon","Sub-Saharan Africa",0.28098,2016,134,4.121,1.15851,0.3494,0.09314
135,"Mali","Sub-Saharan Africa",0.27544,2016,135,4.073,0.31292,0.16347,0.13647
136,"Haiti","Latin America and Caribbean",0.12072,2016,136,4.028,0.34097,0.27494,0.14476
137,"Botswana","Sub-Saharan Africa",0.44089,2016,137,3.974,1.09426,0.34752,0.10769
138,"Comoros","Sub-Saharan Africa",0.15412,2016,138,3.956,0.27509,0.29981,0.18437
139,"Ivory Coast","Sub-Saharan Africa",0.40663,2016,139,3.916,0.55507,0.04476,0.1553
140,"Cambodia","Southeastern Asia",0.58852,2016,140,3.907,0.55604,0.42494,0.08092
141,"Angola","Sub-Saharan Africa",0.00589,2016,141,3.866,0.84731,0.04991,0.08434
142,"Niger","Sub-Saharan Africa",0.38041,2016,142,3.856,0.1327,0.26162,0.17176
143,"South Sudan","Sub-Saharan Africa",0.19662,2016,143,3.832,0.39394,0.15781,0.13015
144,"Chad","Sub-Saharan Africa",0.12807,2016,144,3.763,0.42214,0.03824,0.04952
145,"Burkina Faso","Sub-Saharan Africa",0.3337,2016,145,3.739,0.31995,0.21297,0.12533
146,"Uganda","Sub-Saharan Africa",0.43653,2016,145,3.739,0.34719,0.19625,0.06442
147,"Yemen","Middle East and Northern Africa",0.2287,2016,147,3.724,0.57939,0.31048,0.05892
148,"Madagascar","Sub-Saharan Africa",0.13684,2016,148,3.695,0.27954,0.37109,0.07506
149,"Tanzania","Sub-Saharan Africa",0.3176,2016,149,3.666,0.47155,0.357,0.05099
150,"Liberia","Sub-Saharan Africa",0.25748,2016,150,3.622,0.10706,0.23165,0.04852
151,"Guinea","Sub-Saharan Africa",0.30953,2016,151,3.607,0.22415,0.18829,0.1192
152,"Rwanda","Sub-Saharan Africa",0.5432,2016,152,3.515,0.32846,0.31865,0.50521
153,"Benin","Sub-Saharan Africa",0.39747,2016,153,3.484,0.39499,0.21028,0.06681
154,"Afghanistan","Southern Asia",0.1643,2016,154,3.36,0.38227,0.17344,0.07112
155,"Togo","Sub-Saharan Africa",0.34678,2016,155,3.303,0.28123,0.24811,0.11587
156,"Syria","Middle East and Northern Africa",0.06912,2016,156,3.069,0.74719,0.62994,0.17233
157,"Burundi","Sub-Saharan Africa",0.0432,2016,157,2.905,0.06831,0.15747,0.09419
1,"Norway",NA,0.635422587394714,2017,1,7.53700017929077,1.61646318435669,0.796666502952576,0.315963834524155
2,"Denmark",NA,0.626006722450256,2017,2,7.52199983596802,1.48238301277161,0.792565524578094,0.40077006816864
3,"Iceland",NA,0.627162635326385,2017,3,7.50400018692017,1.480633020401,0.833552122116089,0.153526559472084
4,"Switzerland",NA,0.620070576667786,2017,4,7.49399995803833,1.56497955322266,0.858131289482117,0.367007285356522
5,"Finland",NA,0.617950856685638,2017,5,7.4689998626709,1.44357192516327,0.80915766954422,0.38261154294014
6,"Netherlands",NA,0.585384488105774,2017,6,7.3769998550415,1.50394463539124,0.810696125030518,0.282661825418472
7,"Canada",NA,0.611100912094116,2017,7,7.31599998474121,1.47920441627502,0.83455765247345,0.287371516227722
8,"New Zealand",NA,0.614062130451202,2017,8,7.31400012969971,1.40570604801178,0.816759705543518,0.382816702127457
9,"Sweden",NA,0.612924098968506,2017,9,7.28399991989136,1.49438726902008,0.830875158309937,0.384398728609085
10,"Australia",NA,0.601607382297516,2017,10,7.28399991989136,1.484414935112,0.84388679265976,0.301183730363846
11,"Israel",NA,0.405988603830338,2017,11,7.21299982070923,1.37538242340088,0.83840399980545,0.0852421000599861
12,"Costa Rica",NA,0.580131649971008,2017,12,7.0789999961853,1.10970628261566,0.759509265422821,0.100106589496136
13,"Austria",NA,0.567766189575195,2017,13,7.00600004196167,1.48709726333618,0.815328419208527,0.221060365438461
14,"United States",NA,0.505740523338318,2017,14,6.99300003051758,1.54625928401947,0.77428662776947,0.135638788342476
15,"Ireland",NA,0.573110342025757,2017,15,6.97700023651123,1.53570663928986,0.80978262424469,0.29838815331459
16,"Germany",NA,0.562511384487152,2017,16,6.95100021362305,1.48792338371277,0.798950731754303,0.276731938123703
17,"Belgium",NA,0.539770722389221,2017,17,6.89099979400635,1.46378076076508,0.818091869354248,0.251343131065369
18,"Luxembourg",NA,0.59662789106369,2017,18,6.86299991607666,1.74194359779358,0.845089495182037,0.31883442401886
19,"United Kingdom",NA,0.508190035820007,2017,19,6.71400022506714,1.44163393974304,0.805335938930511,0.265428066253662
20,"Chile",NA,0.376895278692245,2017,20,6.65199995040894,1.25278460979462,0.819479703903198,0.0822879821062088
21,"United Arab Emirates",NA,0.60834527015686,2017,21,6.64799976348877,1.62634336948395,0.726798236370087,0.324489563703537
22,"Brazil",NA,0.437453746795654,2017,22,6.63500022888184,1.10735321044922,0.616552352905273,0.111092761158943
23,"Czech Republic",NA,0.490946173667908,2017,23,6.60900020599365,1.35268235206604,0.754444003105164,0.0368729270994663
24,"Argentina",NA,0.494519203901291,2017,24,6.59899997711182,1.18529546260834,0.695137083530426,0.059739887714386
25,"Mexico",NA,0.412730008363724,2017,25,6.57800006866455,1.15318381786346,0.709978997707367,0.132774114608765
26,"Singapore",NA,0.549840569496155,2017,26,6.57200002670288,1.69227766990662,0.949492394924164,0.46430778503418
27,"Malta",NA,0.588767051696777,2017,27,6.52699995040894,1.34327983856201,0.821944236755371,0.153066068887711
28,"Uruguay",NA,0.57939225435257,2017,28,6.4539999961853,1.21755969524384,0.719216823577881,0.178061872720718
29,"Guatemala",NA,0.531310617923737,2017,29,6.4539999961853,0.872001945972443,0.540239989757538,0.0772232785820961
30,"Panama",NA,0.550026834011078,2017,30,6.4520001411438,1.23374843597412,0.706156134605408,0.070983923971653
31,"France",NA,0.470222115516663,2017,31,6.44199991226196,1.43092346191406,0.844465851783752,0.172502428293228
32,"Thailand",NA,0.580200731754303,2017,32,6.42399978637695,1.12786877155304,0.647239029407501,0.0316127352416515
33,"Taiwan Province of China",NA,0.361466586589813,2017,33,6.42199993133545,1.43362653255463,0.793984234333038,0.0638292357325554
34,"Spain",NA,0.408781230449677,2017,34,6.40299987792969,1.38439786434174,0.888960599899292,0.0709140971302986
35,"Qatar",NA,0.604130983352661,2017,35,6.375,1.87076568603516,0.710098087787628,0.439299255609512
36,"Colombia",NA,0.477487415075302,2017,36,6.35699987411499,1.07062232494354,0.595027923583984,0.0466687418520451
37,"Saudi Arabia",NA,0.449750572443008,2017,37,6.3439998626709,1.53062355518341,0.590148329734802,0.27343225479126
38,"Trinidad and Tobago",NA,0.518630743026733,2017,38,6.16800022125244,1.36135590076447,0.519983291625977,0.00896481610834599
39,"Kuwait",NA,0.496337592601776,2017,39,6.10500001907349,1.63295245170593,0.632105708122253,0.215159550309181
40,"Slovakia",NA,0.295817464590073,2017,40,6.09800004959106,1.32539355754852,0.712732911109924,0.0242108516395092
41,"Bahrain",NA,0.536746919155121,2017,41,6.08699989318848,1.48841226100922,0.653133034706116,0.257042169570923
42,"Malaysia",NA,0.402264982461929,2017,42,6.08400011062622,1.29121541976929,0.618784427642822,0.0656007081270218
43,"Nicaragua",NA,0.447551846504211,2017,43,6.07100009918213,0.737299203872681,0.653095960617065,0.130687981843948
44,"Ecuador",NA,0.4551981985569,2017,44,6.00799989700317,1.00082039833069,0.685636222362518,0.140134647488594
45,"El Salvador",NA,0.432452529668808,2017,45,6.00299978256226,0.909784495830536,0.596018552780151,0.0899809598922729
46,"Poland",NA,0.520342111587524,2017,46,5.97300004959106,1.29178786277771,0.699475347995758,0.0593078061938286
47,"Uzbekistan",NA,0.658248662948608,2017,47,5.97100019454956,0.786441087722778,0.498272627592087,0.246528223156929
48,"Italy",NA,0.256450712680817,2017,48,5.96400022506714,1.39506661891937,0.853144347667694,0.0280280914157629
49,"Russia",NA,0.373783111572266,2017,49,5.96299982070923,1.28177809715271,0.547349333763123,0.0329628810286522
50,"Belize",NA,0.547509372234344,2017,50,5.95599985122681,0.907975316047668,0.450191766023636,0.0965810716152191
51,"Japan",NA,0.505625545978546,2017,51,5.92000007629395,1.41691517829895,0.913475871086121,0.163760736584663
52,"Lithuania",NA,0.234231784939766,2017,52,5.90199995040894,1.31458234786987,0.62894994020462,0.0118656428530812
53,"Algeria",NA,0.233335807919502,2017,53,5.87200021743774,1.09186446666718,0.617584645748138,0.146096110343933
54,"Latvia",NA,0.325707912445068,2017,54,5.84999990463257,1.26074862480164,0.638566970825195,0.0738427266478539
55,"South Korea",NA,0.257921665906906,2017,55,5.83799982070923,1.40167844295502,0.900214076042175,0.0632826685905457
56,"Moldova",NA,0.240729048848152,2017,56,5.83799982070923,0.728870630264282,0.589465200901031,0.0100912861526012
57,"Romania",NA,0.457003742456436,2017,57,5.82499980926514,1.21768391132355,0.685158312320709,0.00438790069893003
58,"Bolivia",NA,0.558732926845551,2017,58,5.82299995422363,0.833756566047668,0.473630249500275,0.0604777261614799
59,"Turkmenistan",NA,0.41827192902565,2017,59,5.82200002670288,1.13077676296234,0.437726080417633,0.259270340204239
60,"Kazakhstan",NA,0.437454283237457,2017,60,5.81899976730347,1.28455626964569,0.606041550636292,0.119282886385918
61,"North Cyprus",NA,0.471203625202179,2017,61,5.80999994277954,1.3469113111496,0.834647238254547,0.155353352427483
62,"Slovenia",NA,0.572575807571411,2017,62,5.75799989700317,1.3412059545517,0.790828227996826,0.0451289787888527
63,"Peru",NA,0.450002878904343,2017,63,5.71500015258789,1.03522527217865,0.630166113376617,0.0470490865409374
64,"Mauritius",NA,0.491247326135635,2017,64,5.62900018692017,1.18939554691315,0.638007462024689,0.0421815551817417
65,"Cyprus",NA,0.355111539363861,2017,65,5.62099981307983,1.35593807697296,0.84471470117569,0.0412379764020443
66,"Estonia",NA,0.479131430387497,2017,66,5.61100006103516,1.32087934017181,0.695168316364288,0.183248922228813
67,"Belarus",NA,0.295400261878967,2017,67,5.56899976730347,1.15655755996704,0.637714266777039,0.156313821673393
68,"Libya",NA,0.465733230113983,2017,68,5.52500009536743,1.10180306434631,0.520169019699097,0.0926102101802826
69,"Turkey",NA,0.300740599632263,2017,69,5.5,1.19827437400818,0.637605607509613,0.0996715798974037
70,"Paraguay",NA,0.473507791757584,2017,70,5.49300003051758,0.932537317276001,0.579250693321228,0.091065913438797
71,"Hong Kong S.A.R., China",NA,0.490968644618988,2017,71,5.47200012207031,1.55167484283447,0.943062424659729,0.293933749198914
72,"Philippines",NA,0.585214674472809,2017,72,5.42999982833862,0.85769921541214,0.468009054660797,0.0993318930268288
73,"Serbia",NA,0.208715528249741,2017,73,5.39499998092651,1.06931757926941,0.65078467130661,0.0409037806093693
74,"Jordan",NA,0.418421149253845,2017,74,5.33599996566772,0.991012394428253,0.604590058326721,0.11980327218771
75,"Hungary",NA,0.175863519310951,2017,75,5.32399988174438,1.2860119342804,0.687763452529907,0.0366369374096394
76,"Jamaica",NA,0.474307239055634,2017,76,5.31099987030029,0.925579309463501,0.641022384166718,0.0552677810192108
77,"Croatia",NA,0.255772292613983,2017,77,5.29300022125244,1.22255623340607,0.701288521289825,0.0431031100451946
78,"Kosovo",NA,0.260287940502167,2017,78,5.27899980545044,0.951484382152557,0.541452050209045,0.0574716180562973
79,"China",NA,0.472787708044052,2017,79,5.27299976348877,1.08116579055786,0.741415500640869,0.0227942746132612
80,"Pakistan",NA,0.23521526157856,2017,80,5.26900005340576,0.72688353061676,0.402047783136368,0.124348066747189
81,"Indonesia",NA,0.443323463201523,2017,81,5.26200008392334,0.995538592338562,0.492345720529556,0.0153171354904771
82,"Venezuela",NA,0.153997123241425,2017,82,5.25,1.12843120098114,0.617144227027893,0.0644911229610443
83,"Montenegro",NA,0.194989055395126,2017,83,5.23699998855591,1.12112903594971,0.667464673519135,0.0881741940975189
84,"Morocco",NA,0.408158332109451,2017,84,5.2350001335144,0.878114581108093,0.59771066904068,0.0877631828188896
85,"Azerbaijan",NA,0.398155838251114,2017,85,5.23400020599365,1.15360176563263,0.540775775909424,0.180987507104874
86,"Dominican Republic",NA,0.55258983373642,2017,86,5.23000001907349,1.07937383651733,0.574873745441437,0.113945253193378
87,"Greece",NA,0.0957312509417534,2017,87,5.22700023651123,1.28948748111725,0.810198903083801,0.04328977689147
88,"Lebanon",NA,0.288515985012054,2017,88,5.22499990463257,1.07498753070831,0.735081076622009,0.037513829767704
89,"Portugal",NA,0.498465299606323,2017,89,5.19500017166138,1.3151752948761,0.795843541622162,0.0158694516867399
90,"Bosnia and Herzegovina",NA,0.204403176903725,2017,90,5.18200016021729,0.982409417629242,0.705186307430267,0
91,"Honduras",NA,0.348079860210419,2017,91,5.18100023269653,0.730573117733002,0.582569479942322,0.0733454525470734
92,"Macedonia",NA,0.325905978679657,2017,92,5.17500019073486,1.06457793712616,0.644948184490204,0.0602777935564518
93,"Somalia",NA,0.602126955986023,2017,93,5.15100002288818,0.0226431842893362,0.113989137113094,0.282410323619843
94,"Vietnam",NA,0.571055591106415,2017,94,5.07399988174438,0.788547575473785,0.652168989181519,0.0876332372426987
95,"Nigeria",NA,0.394952565431595,2017,95,5.07399988174438,0.783756256103516,0.0569157302379608,0.0261215660721064
96,"Tajikistan",NA,0.471566706895828,2017,96,5.04099988937378,0.524713635444641,0.529235124588013,0.146377146244049
97,"Bhutan",NA,0.501537680625916,2017,97,5.01100015640259,0.885416388511658,0.495879292488098,0.173380389809608
98,"Kyrgyzstan",NA,0.454943388700485,2017,98,5.00400018692017,0.596220076084137,0.553457796573639,0.0394391790032387
99,"Nepal",NA,0.440305948257446,2017,99,4.96199989318848,0.479820191860199,0.504130780696869,0.0729755461215973
100,"Mongolia",NA,0.394143968820572,2017,100,4.95499992370605,1.02723586559296,0.557783484458923,0.0329022891819477
101,"South Africa",NA,0.479246735572815,2017,101,4.8289999961853,1.05469870567322,0.187080070376396,0.0725094974040985
102,"Tunisia",NA,0.289680689573288,2017,102,4.80499982833862,1.00726580619812,0.613212049007416,0.0867231488227844
103,"Palestinian Territories",NA,0.25471106171608,2017,103,4.77500009536743,0.716249227523804,0.565666973590851,0.0892826020717621
104,"Egypt",NA,0.282110154628754,2017,104,4.7350001335144,0.989701807498932,0.520187258720398,0.114381365478039
105,"Bulgaria",NA,0.289231717586517,2017,105,4.71400022506714,1.1614590883255,0.708217680454254,0.0110515309497714
106,"Sierra Leone",NA,0.318697690963745,2017,106,4.70900011062622,0.36842092871666,0.00556475389748812,0.0710951760411263
107,"Cameroon",NA,0.430388748645782,2017,107,4.69500017166138,0.564305365085602,0.132892116904259,0.0513066314160824
108,"Iran",NA,0.249322608113289,2017,108,4.69199991226196,1.15687310695648,0.639333188533783,0.048761073499918
109,"Albania",NA,0.381498634815216,2017,109,4.64400005340576,0.996192753314972,0.731159746646881,0.0398642159998417
110,"Bangladesh",NA,0.478356659412384,2017,110,4.60799980163574,0.586682975292206,0.533241033554077,0.123717859387398
111,"Namibia",NA,0.520303547382355,2017,111,4.57399988174438,0.964434325695038,0.33861181139946,0.0931469723582268
112,"Kenya",NA,0.452763766050339,2017,112,4.55299997329712,0.560479462146759,0.309988349676132,0.0646413192152977
113,"Mozambique",NA,0.480791091918945,2017,113,4.55000019073486,0.234305649995804,0.106654435396194,0.179436385631561
114,"Myanmar",NA,0.514492034912109,2017,114,4.54500007629395,0.367110550403595,0.397522568702698,0.188816204667091
115,"Senegal",NA,0.377922266721725,2017,115,4.53499984741211,0.479309022426605,0.409362852573395,0.115460447967052
116,"Zambia",NA,0.461603492498398,2017,116,4.51399993896484,0.636406779289246,0.257835894823074,0.0782135501503944
117,"Iraq",NA,0.288555532693863,2017,117,4.49700021743774,1.10271048545837,0.501180469989777,0.107215754687786
118,"Gabon",NA,0.312328577041626,2017,118,4.46500015258789,1.1982102394104,0.356578588485718,0.0760467872023582
119,"Ethiopia",NA,0.408842742443085,2017,119,4.46000003814697,0.339233845472336,0.353409707546234,0.165455713868141
120,"Sri Lanka",NA,0.561213254928589,2017,120,4.44000005722046,1.00985014438629,0.625130832195282,0.0736539661884308
121,"Armenia",NA,0.198303267359734,2017,121,4.37599992752075,0.900596737861633,0.637524425983429,0.0266744215041399
122,"India",NA,0.469987004995346,2017,122,4.31500005722046,0.792221248149872,0.455427616834641,0.0922268852591515
123,"Mauritania",NA,0.0960980430245399,2017,123,4.29199981689453,0.648457288742065,0.285349279642105,0.136957004666328
124,"Congo (Brazzaville)",NA,0.435025870800018,2017,124,4.29099988937378,0.808964252471924,0.28995743393898,0.0796181336045265
125,"Georgia",NA,0.309410035610199,2017,125,4.28599977493286,0.950612664222717,0.649546980857849,0.251666635274887
126,"Congo (Kinshasa)",NA,0.235961347818375,2017,126,4.28000020980835,0.0921023488044739,0.191407024860382,0.0602413564920425
127,"Mali",NA,0.306613743305206,2017,127,4.19000005722046,0.476180493831635,0.169365674257278,0.104970246553421
128,"Ivory Coast",NA,0.447706192731857,2017,128,4.17999982833862,0.603048920631409,0.0486421696841717,0.130061775445938
129,"Cambodia",NA,0.633375823497772,2017,129,4.16800022125244,0.601765096187592,0.429783403873444,0.0681059509515762
130,"Sudan",NA,0.0149958552792668,2017,130,4.13899993896484,0.65951669216156,0.290920823812485,0.089847519993782
131,"Ghana",NA,0.423026293516159,2017,131,4.11999988555908,0.667224824428558,0.295637726783752,0.0253363698720932
132,"Ukraine",NA,0.122974775731564,2017,132,4.09600019454956,0.89465194940567,0.575903952121735,0.0230294708162546
133,"Uganda",NA,0.443185955286026,2017,133,4.08099985122681,0.381430715322495,0.217632606625557,0.057069718837738
134,"Burkina Faso",NA,0.324367851018906,2017,134,4.03200006484985,0.3502277135849,0.215844258666039,0.120328105986118
135,"Niger",NA,0.36365869641304,2017,135,4.02799987792969,0.161925330758095,0.26850500702858,0.138572946190834
136,"Malawi",NA,0.466914653778076,2017,136,3.97000002861023,0.233442038297653,0.315089583396912,0.0727116540074348
137,"Chad",NA,0.16234202682972,2017,137,3.93600010871887,0.438012987375259,0.0411347150802612,0.0535818822681904
138,"Zimbabwe",NA,0.336384207010269,2017,138,3.875,0.375846534967422,0.196763753890991,0.0953753814101219
139,"Lesotho",NA,0.390661299228668,2017,139,3.80800008773804,0.521021246910095,0,0.119094640016556
140,"Angola",NA,0,2017,140,3.79500007629395,0.858428180217743,0.0498686656355858,0.0697203353047371
141,"Afghanistan",NA,0.106179520487785,2017,141,3.79399991035461,0.401477217674255,0.180746778845787,0.0611578300595284
142,"Botswana",NA,0.505196332931519,2017,142,3.76600003242493,1.12209415435791,0.341755509376526,0.0985831990838051
143,"Benin",NA,0.425962775945663,2017,143,3.65700006484985,0.431085407733917,0.209930211305618,0.0609290152788162
144,"Madagascar",NA,0.189196765422821,2017,144,3.64400005340576,0.305808693170547,0.375223308801651,0.0672319754958153
145,"Haiti",NA,0.0303698573261499,2017,145,3.6029999256134,0.368610262870789,0.277321130037308,0.0998721495270729
146,"Yemen",NA,0.249463722109795,2017,146,3.59299993515015,0.591683447360992,0.310080915689468,0.0567674227058887
147,"South Sudan",NA,0.147062435746193,2017,147,3.59100008010864,0.39724862575531,0.163486003875732,0.116793513298035
148,"Liberia",NA,0.332881182432175,2017,148,3.53299999237061,0.119041793048382,0.229918196797371,0.0389482490718365
149,"Guinea",NA,0.348587512969971,2017,149,3.50699996948242,0.244549930095673,0.194129139184952,0.110937617719173
150,"Togo",NA,0.38042613863945,2017,150,3.49499988555908,0.305444717407227,0.247105568647385,0.0956650152802467
151,"Rwanda",NA,0.581843852996826,2017,151,3.47099995613098,0.368745893239975,0.326424807310104,0.455220013856888
152,"Syria",NA,0.0815394446253777,2017,152,3.46199989318848,0.777153134346008,0.50053334236145,0.151347130537033
153,"Tanzania",NA,0.390017777681351,2017,153,3.34899997711182,0.511135876178741,0.364509284496307,0.0660351067781448
154,"Burundi",NA,0.0599007532000542,2017,154,2.90499997138977,0.091622568666935,0.151610791683197,0.0841479450464249
155,"Central African Republic",NA,0.270842045545578,2017,155,2.69300007820129,0,0.0187726859003305,0.0565650761127472
1,"Finland",NA,0.681,2018,1,7.632,1.305,0.874,107
2,"Norway",NA,0.686,2018,2,7.594,1.456,0.861,103
3,"Denmark",NA,0.683,2018,3,7.555,1.351,0.868,108
4,"Iceland",NA,0.677,2018,4,7.495,1.343,0.914,78
5,"Switzerland",NA,0.66,2018,5,7.487,1.42,0.927,104
6,"Netherlands",NA,0.638,2018,6,7.441,1.361,0.878,99
7,"Canada",NA,0.653,2018,7,7.328,1.33,0.896,98
8,"New Zealand",NA,0.669,2018,8,7.324,1.268,0.876,106
9,"Sweden",NA,0.659,2018,9,7.314,1.355,0.913,105
10,"Australia",NA,0.647,2018,10,7.272,1.34,0.91,100
11,"United Kingdom",NA,0.464,2018,11,7.19,1.244,0.888,50
12,"Austria",NA,0.617,2018,12,7.139,1.341,0.891,92
13,"Costa Rica",NA,0.632,2018,13,7.072,1.01,0.817,59
14,"Ireland",NA,0.614,2018,14,6.977,1.448,0.876,101
15,"Germany",NA,0.586,2018,15,6.965,1.34,0.861,96
16,"Belgium",NA,0.583,2018,16,6.927,1.324,0.894,93
17,"Luxembourg",NA,0.632,2018,17,6.91,1.576,0.896,102
18,"United States",NA,0.547,2018,18,6.886,1.398,0.819,74
19,"Israel",NA,0.533,2018,19,6.814,1.301,0.883,95
20,"United Arab Emirates",NA,0.284,2018,20,6.774,2.096,0.67,111
21,"Czech Republic",NA,0.543,2018,21,6.711,1.233,0.854,18
22,"Malta",NA,0.645,2018,22,6.627,1.27,0.884,79
23,"France",NA,0.52,2018,23,6.489,1.293,0.908,89
24,"Mexico",NA,0.479,2018,24,6.488,1.038,0.761,56
25,"Chile",NA,0.431,2018,25,6.476,1.131,0.808,36
26,"Taiwan",NA,0.418,2018,26,6.441,1.365,0.857,46
27,"Panama",NA,0.597,2018,27,6.43,1.112,0.759,37
28,"Brazil",NA,0.493,2018,28,6.419,0.986,0.675,51
29,"Argentina",NA,0.57,2018,29,6.388,1.073,0.744,31
30,"Guatemala",NA,0.604,2018,30,6.382,0.781,0.608,42
31,"Uruguay",NA,0.625,2018,31,6.379,1.093,0.771,85
32,"Qatar",NA,0.654,2018,32,6.374,1.649,0.748,87
33,"Saudi Arabia",NA,0.509,2018,33,6.371,1.379,0.633,71
34,"Singapore",NA,0.631,2018,34,6.343,1.529,1.008,110
35,"Malaysia",NA,0.356,2018,35,6.322,1.161,0.669,34
36,"Spain",NA,0.449,2018,36,6.31,1.251,0.965,43
37,"Colombia",NA,0.531,2018,37,6.26,0.96,0.635,23
38,"Trinidad & Tobago",NA,0.575,2018,38,6.192,1.223,0.564,9
39,"Slovakia",NA,0.354,2018,39,6.173,1.21,0.776,6
40,"El Salvador",NA,0.461,2018,40,6.167,0.806,0.639,50
41,"Nicaragua",NA,0.527,2018,41,6.141,0.668,0.7,72
42,"Poland",NA,0.546,2018,42,6.123,1.176,0.781,38
43,"Bahrain",NA,0.594,2018,43,6.105,1.338,0.698,70
44,"Uzbekistan",NA,0.724,2018,44,6.096,0.719,0.605,94
45,"Kuwait",NA,0.554,2018,45,6.083,1.474,0.675,63
46,"Thailand",NA,0.637,2018,46,6.072,1.016,0.707,14
47,"Italy",NA,0.281,2018,47,6,1.264,0.946,13
48,"Ecuador",NA,0.556,2018,48,5.973,0.889,0.736,68
49,"Belize",NA,0.593,2018,49,5.956,0.807,0.474,52
50,"Lithuania",NA,0.35,2018,50,5.952,1.197,0.716,3
51,"Slovenia",NA,0.633,2018,51,5.948,1.219,0.856,28
52,"Romania",NA,0.528,2018,52,5.945,1.116,0.726,2
53,"Latvia",NA,0.363,2018,53,5.933,1.148,0.671,40
54,"Japan",NA,0.553,2018,54,5.915,1.294,0.988,83
55,"Mauritius",NA,0.584,2018,55,5.891,1.09,0.684,27
56,"Jamaica",NA,0.575,2018,56,5.89,0.819,0.693,16
57,"South Korea",NA,0.244,2018,57,5.875,1.266,0.955,28
58,"Northern Cyprus",NA,0.495,2018,58,5.835,1.229,0.909,84
59,"Russia",NA,0.399,2018,59,5.81,1.151,0.599,12
60,"Kazakhstan",NA,0.454,2018,60,5.79,1.143,0.631,69
61,"Cyprus",NA,0.423,2018,61,5.762,1.229,0.909,19
62,"Bolivia",NA,0.606,2018,62,5.752,0.751,0.508,31
63,"Estonia",NA,0.553,2018,63,5.739,1.2,0.737,88
64,"Paraguay",NA,0.541,2018,64,5.681,0.835,0.615,43
65,"Peru",NA,0.53,2018,65,5.663,0.934,0.674,18
66,"Kosovo",NA,0.448,2018,66,5.662,0.855,0.578,11
67,"Moldova",NA,0.232,2018,67,5.64,0.657,0.62,1
68,"Turkmenistan",NA,0.417,2018,68,5.636,1.016,0.517,21
69,"Hungary",NA,0.259,2018,69,5.62,1.171,0.732,10
70,"Libya",NA,0.496,2018,70,5.566,0.985,0.553,82
71,"Philippines",NA,0.643,2018,71,5.524,0.775,0.513,62
72,"Honduras",NA,0.459,2018,72,5.504,0.62,0.622,43
73,"Belarus",NA,0.307,2018,73,5.483,1.039,0.7,84
74,"Turkey",NA,0.324,2018,74,5.483,1.148,0.686,65
75,"Pakistan",NA,0.334,2018,75,5.472,0.652,0.424,67
76,"Hong Kong",NA,0.524,2018,76,5.43,1.405,1.03,98
77,"Portugal",NA,0.562,2018,77,5.41,1.188,0.884,7
78,"Serbia",NA,0.288,2018,78,5.398,0.975,0.685,24
79,"Greece",NA,0.131,2018,79,5.358,1.154,0.879,25
80,"Lebanon",NA,0.503,2018,80,5.358,0.965,0.785,77
81,"Montenegro",NA,0.259,2018,81,5.347,1.017,0.729,49
82,"Croatia",NA,0.38,2018,82,5.321,1.115,0.737,23
83,"Dominican Republic",NA,0.578,2018,83,5.302,0.982,0.614,63
84,"Algeria",NA,0.077,2018,84,5.295,0.979,0.687,76
85,"Morocco",NA,0.46,2018,85,5.254,0.779,0.669,43
86,"China",NA,0.597,2018,86,5.246,0.989,0.799,60
87,"Azerbaijan",NA,0.43,2018,87,5.201,1.024,0.603,89
88,"Tajikistan",NA,0.292,2018,88,5.199,0.474,0.598,18
89,"Macedonia",NA,0.394,2018,89,5.185,0.959,0.691,29
90,"Jordan",NA,0.468,2018,90,5.161,0.822,0.645,75
91,"Nigeria",NA,0.462,2018,91,5.155,0.689,0.048,17
92,"Kyrgyzstan",NA,0.54,2018,92,5.131,0.53,0.594,19
93,"Bosnia and Herzegovina",NA,0.28,2018,93,5.129,0.915,0.758,1
94,"Mongolia",NA,0.395,2018,94,5.125,0.914,0.575,17
95,"Vietnam",NA,0.618,2018,95,5.103,0.715,0.702,47
96,"Indonesia",NA,0.538,2018,96,5.093,0.899,0.522,8
97,"Bhutan",NA,0.541,2018,97,5.082,0.796,0.527,87
98,"Somalia",NA,0.674,2018,98,4.982,0,0.115,97
99,"Cameroon",NA,0.454,2018,99,4.975,0.535,0.182,24
100,"Bulgaria",NA,0.359,2018,100,4.933,1.054,0.712,4
101,"Nepal",NA,0.526,2018,101,4.88,0.425,0.539,46
102,"Venezuela",NA,0.133,2018,102,4.806,0.996,0.657,29
103,"Gabon",NA,0.356,2018,103,4.758,1.036,0.404,29
104,"Palestinian Territories",NA,0.266,2018,104,4.743,0.642,0.602,44
105,"South Africa",NA,0.516,2018,105,4.724,0.94,0.33,33
106,"Iran",NA,0.459,2018,106,4.707,1.059,0.691,73
107,"Ivory Coast",NA,0.467,2018,107,4.671,0.541,0.08,60
108,"Ghana",NA,0.499,2018,108,4.657,0.592,0.337,14
109,"Senegal",NA,0.406,2018,109,4.631,0.429,0.433,50
110,"Laos",NA,0.626,2018,110,4.623,0.72,0.441,88
111,"Tunisia",NA,0.271,2018,111,4.592,0.9,0.69,37
